,config,filename,Number of predicate,Accuracy,Time,Memory
0,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_1.txt,20,0.608696,109,10485592
1,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_2.txt,30,0.609756,166,17945192
2,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_3.txt,50,0.642857,294,84574080
3,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_4.txt,100,0.838710,794,155450568
4,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_5.txt,30,0.622222,147,13041688
5,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_6.txt,40,0.771429,226,45729200
6,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_7.txt,200,0.705882,3706,155518488
7,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_8.txt,150,0.692308,1773,155648520
8,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_9.txt,70,0.777778,447,151252640
9,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_10.txt,170,0.628571,2337,155648464
10,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_11.txt,70,0.794118,504,154929000
11,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_12.txt,320,0.774194,13580,156137984
12,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_13.txt,167,0.589744,2296,155648504
13,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_14.txt,30,0.675000,155,14213568
14,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_15.txt,5,0.642857,54,1803456
15,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_16.txt,120,0.891892,1370,155631936
16,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_17.txt,411,0.722222,34429,155867608
17,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_18.txt,348,0.676471,21576,156228304
18,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_19.txt,275,0.634146,8839,156139968
19,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_20.txt,997,0.750000,438600,155829712
20,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_21.txt,589,0.634146,95422,155831304
21,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_22.txt,432,0.685714,34121,155648520
22,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_23.txt,789,0.766667,228495,155297296
23,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_24.txt,278,0.565217,9659,156131344
24,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_25.txt,660,0.781250,127775,155681064
25,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_26.txt,813,0.714286,214390,155818000
26,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_27.txt,398,0.682927,26638,156244488
27,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_28.txt,737,0.806452,169196,155823120
28,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_29.txt,500,0.641026,52310,155569888
29,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_30.txt,810,0.514286,243382,155817448
