No,config,filename,Number of Predicate,Accuracy,Time,Memory
0,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_31.txt,598,0.675676,102066,155837888
1,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_32.txt,1024,0.928571,544931,155291144
2,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_33.txt,233,0.710526,6134,155935744
3,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_34.txt,444,0.735294,41796,155648512
4,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_35.txt,717,0.756757,150032,155813296
5,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_36.txt,1200,0.645161,874054,155287560
6,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_37.txt,111,0.714286,1007,155603104
7,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_38.txt,857,0.764706,293303,155712824
8,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_39.txt,563,0.735294,76035,155123696
9,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_40.txt,341,0.764706,19834,156105008
10,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_41.txt,381,0.613636,22975,156118088
11,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_42.txt,123,0.641026,1226,155648520
12,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_43.txt,751,0.619048,158220,155819504
13,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_44.txt,923,0.702703,267246,155803360
14,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_45.txt,593,0.684211,89902,155339792
15,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_46.txt,851,0.78125,224865,155845128
16,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_47.txt,375,0.694444,23153,155987496
17,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_48.txt,714,0.647059,158342,155823112
18,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_49.txt,472,0.75,43231,155648016
19,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_50.txt,931,0.487805,279959,155314640
20,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_51.txt,952,0.714286,317526,155835360
21,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_52.txt,257,0.636364,7487,156043800
22,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_53.txt,1224,0.702703,800809,155277832
23,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_54.txt,745,0.774194,200346,155829760
24,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_55.txt,862,0.694444,235959,155846160
25,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_56.txt,953,0.774194,350070,155835920
26,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_57.txt,724,0.866667,178035,155839448
27,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_58.txt,582,0.6875,91768,155674152
28,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_59.txt,392,0.694444,30318,156321240
29,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_60.txt,137,0.702703,1528,155647496
30,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_61.txt,195,0.866667,4516,155743584
31,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_62.txt,1765,0.794118,1996254,166051648
32,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_63.txt,1376,0.581395,940171,155721512
33,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_64.txt,1542,0.674419,1107759,155277264
34,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_65.txt,726,0.684211,168109,155300888
35,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_66.txt,999,0.757576,409351,155377264
36,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_67.txt,1179,0.9,741417,155282848
37,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_68.txt,1287,0.619048,820476,155827696
38,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_69.txt,1555,0.675676,1278287,155398328
39,"k = 25, dslimit = 0.010000, sizeLimit = 2",generated_data/data_70.txt,298,0.560976,11473,155765432
